UIN,Grid Number,Batch Number,Description/Shape,Size,Glaze Type,Kiln,Material,Condition,Weight,Decoration Exterior,Decoration Interior,Qty,Remarks,Image,Box Label,Highlight
1077,E22,B131,Bowl,Small,B&W,Jingdezhen,Porcelain,Base,56,,Ducks in lotus pond,1,,1077-IMG_2101.jpg1077-IMG_2102.jpg,,
1078,E22,B131,Dish,Small,B&W,Jingdezhen,Porcelain,Rim shard,13,,Lotus scroll,1,Foliated rim,1078-IMG_2103.jpg1078-IMG_2104.jpg,,✓
1079,E22,B131,Ewer,,B&W,Jingdezhen,Porcelain,Handle,7,Scroll,,1,,1079-IMG_2106.jpg1079-IMG_2105.jpg,,
1080,E22,B131,Vase,,B&W,Jingdezhen,Porcelain,Shard,29,Lotus,,1,,1080-IMG_2108.jpg1080-IMG_2107.jpg,,
1081,E22,B131,Bowls,,B&W,Jingdezhen,Porcelain,Shards,25,,,6,,1081-IMG_2110.jpg1081-IMG_2109.jpg,,
1082,E22,B131,Vases,,B&W,Jingdezhen,Porcelain,Shards,8,Bird?,,2,,1082-IMG_2112.jpg1082-IMG_2111.jpg,,
1083,F18,B135,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,244,Lotus panels,Lotus,1,,1083-IMG_2114.jpg1083-IMG_2113.jpg,,
1084,F18,B135,Bowl,Small,B&W,Jingdezhen,Porcelain,Bases,133,,Lotus bouquet,2,,1084-IMG_2116.jpg1084-IMG_2115.jpg,,
1085,F18,B135,Bowls,,B&W,Jingdezhen,Porcelain,Shards,56,,,7,,1085-IMG_2117.jpg1085-IMG_2118.jpg,,
1086,F18,B135,Bowls,Medium,B&W,Jingdezhen,Porcelain,Bases,313,Lotus panels,Ducks in lotus pond,2,,1086-IMG_2120.jpg1086-IMG_2122.jpg,,
1087,F18,B135,Vase?,,B&W,Jingdezhen,Porcelain,Neck shard,21,Lotus panels scroll,,1,Cylindrical,1087-IMG_2127.jpg1087-IMG_2124.jpg1087-IMG_2125.jpg,,✓
1088,F18,B135,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,124,,Dragon,1,,1088-IMG_2128.jpg1088-IMG_2130.jpg,,✓
1090,F18,B135,Vase,,B&W,Jingdezhen,Porcelain,Shard,19,,,1,B&W and incised dec. Anhua,1090-IMG_2142.jpg1090-IMG_2141.jpg,,✓
1092,F18,B135,Vase,,B&W,Jingdezhen,Porcelain,Shard,34,Lotus panels scroll,,1,,1092-IMG_2149.jpg1092-IMG_2148.jpg,,
1093,F18,B135,Stem cup?,Small,B&W,Jingdezhen,Porcelain,Shard,12,,Dragon,1,,1093-IMG_2150.jpg1093-IMG_2152.jpg,,✓
1094,E23,B142,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,232,Lotus panels,Ducks in lotus pond,1,,1094-IMG_2159.jpg1094-IMG_2153.jpg,,
1095,E23,B142,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,134,,Ducks in lotus pond,1,,1095-IMG_2161.jpg1095-IMG_2162.jpg,,
1096,E23,B142,Vase?,,B&W,Jingdezhen,Porcelain,Shoulder shard,120,Phoenix lotus panels,,1,Tiered shoulder,1096-IMG_2168.jpg1096-IMG_2164.jpg,,✓
1098,E22,B129,Bowl,,B&W,Jingdezhen,Porcelain,Shard,19,Lotus panels scroll,Floral moulded qingbai,1,B&W and moulded qingbai,1098-IMG_2186.jpg1098-IMG_2181.jpg,,✓
1099,E22,B129,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,172,Lotus panels,Ducks in lotus pond,1,Footrim missing,1099-IMG_2190.jpg1099-IMG_2193.jpg,,
1100,E22,B129,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,132,Lotus panels,Morning glory?,1,,1100-IMG_2201.jpg1100-IMG_2198.jpg,,✓
1102,E22,B129,Bowls,,B&W,Jingdezhen,Porcelain,Shards,74,,,4,,1102-IMG_2210.jpg1102-IMG_2209.jpg,,
1103,E22,B129,Vases,,B&W,Jingdezhen,Porcelain,Shards,25,,,2,,1103-IMG_2216.jpg1103-IMG_2217.jpg,,
1107,E22,B131,Guan?,,B&W,Jingdezhen,Porcelain,Base shard,198,Lotus panels,,1,,1107-IMG_2239.jpg1107-IMG_2240.jpg1107-IMG_2237.jpg1107-IMG_2235.jpg,,
1108,E23,B142,Guan,,B&W,Jingdezhen,Porcelain,Base,1072,,,1,Octagonal luted,1108-IMG_2249.jpg1108-IMG_2243.jpg1108-IMG_2244.jpg,,✓
1110,F19,B134,Bowl,Small,B&W,Jingdezhen,Porcelain,Base,73,Lotus panels,Lotus bouquet,1,,1110-IMG_2254.jpg1110-IMG_2253.jpg,,
1111,F19,B134,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,182,Lotus panels,Ducks in lotus pond,1,,1111-IMG_2256.jpg1111-IMG_2255.jpg,,
1112,F19,B134,Dish,Medium,B&W,Jingdezhen,Porcelain,Shard,97,Lotus panels,Lotus pond?,1,Eroded,1112-IMG_2258.jpg1112-IMG_2257.jpg,,
1113,F19,B134,Bowl?,,B&W,Jingdezhen,Porcelain,Shard,13,Wheel in lotus panel,,1,,1113-IMG_2259.jpg1113-IMG_2260.jpg,,✓
1114,F19,B134,Bowls,,B&W,Jingdezhen,Porcelain,Shards,101,,,6,,1114-IMG_2262.jpg1114-IMG_2261.jpg,,
1115,F22,B142,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,169,Lotus panels,Morning glory,1,,1115-IMG_2263.jpg1115-IMG_2264.jpg,,✓
1116,F22,B142,Bowl,Small,B&W,Jingdezhen,Porcelain,Base,44,,Fungus?,1,,1116-IMG_2265.jpg1116-IMG_2266.jpg,,
1117,F22,B142,Vases,,B&W,Jingdezhen,Porcelain,Shards,15,,,2,Cylindrical neck,1117-IMG_2268.jpg1117-IMG_2267.jpg,,
1118,F22,B142,Vase,,B&W,Jingdezhen,Porcelain,Shard,10,Berries?,,1,,1118-IMG_2269.jpg1118-IMG_2270.jpg,,
1119,F22,B142,Guan?,,B&W,Jingdezhen,Porcelain,Shard,17,Leaves,,1,Eroded,1119-IMG_2271.jpg1119-IMG_2272.jpg,,
1120,F22,B142,Bowls,,B&W,Jingdezhen,Porcelain,Shards,17,,,6,,1120-IMG_2273.jpg1120-IMG_2274.jpg,,
1121,E19,B110,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,190,Lotus panels,Lotus,1,,1121-IMG_2275.jpg1121-IMG_2276.jpg,,
1122,E19,B110,Vase,,B&W,Jingdezhen,Porcelain,Shard,30,Lotus panels,,1,,1122-IMG_2278.jpg1122-IMG_2277.jpg,,
1123,E19,B110,Bowl,,B&W,Jingdezhen,Porcelain,Shards,31,Lotus panels lotus scroll,Scroll,1,,1123-IMG_2279.jpg1123-IMG_2280.jpg,,
1124,E19,B110,Vase,,B&W,Jingdezhen,Porcelain,Shard,16,Lotus pond lotus panels,,1,,1124-IMG_2282.jpg1124-IMG_2281.jpg,,
1127,E22,B128,Vases,,B&W,Jingdezhen,Porcelain,Shards,37,,,4,Dragon phoenix,1127-IMG_2291.jpg1127-IMG_2290.jpg,,
1128,E22,B128,Bowls,,B&W,Jingdezhen,Porcelain,Shards,14,,,2,,1128-IMG_2292.jpg1128-IMG_2294.jpg,,
1129,E22,B130,Vase,,R&W,Jingdezhen,Porcelain,Shard,13,,,1,,1129-IMG_2295.jpg1129-IMG_2297.jpg,,✓
1130,E22,B130,Vases,,B&W,Jingdezhen,Porcelain,Shards,9,,,2,,1130-IMG_2301.jpg1130-IMG_2300.jpg,,
1131,E22,B130,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,214,Lotus panels,Lotus,1,,1131-IMG_2302.jpg1131-IMG_2306.jpg,,✓
1132,F18,B135,Vase,,B&W,Jingdezhen,Porcelain,Shard,16,Tree?,,1,Faceted,1132-IMG_2313.jpg1132-IMG_2309.jpg,,✓
1133,F18,B135,Bowls,,B&W,Jingdezhen,Porcelain,Shards,26,,,1,,1133-IMG_2318.jpg1133-IMG_2320.jpg,,
1134,F18,B135,Vases,,B&W,Jingdezhen,Porcelain,Shards,14,,,3,,1134-IMG_2321.jpg1134-IMG_2324.jpg,,
1135,E19,B110,Vases,,B&W,Jingdezhen,Porcelain,Shards,19,,,2,,1135-IMG_2325.jpg1135-IMG_2326.jpg,,
1136,E19,B110,Bowls,,B&W,Jingdezhen,Porcelain,Shards,8,,,2,Foliated rim,1136-IMG_2327.jpg1136-IMG_2328.jpg,,
1137,F18,B135,Bowl,,B&W,Jingdezhen,Porcelain,Shard,18,Lotus panels,,1,Eroded,1137-IMG_2329.jpg1137-IMG_2330.jpg,,
1140,E20,B116,Bowl,Large,B&W,Jingdezhen,Porcelain,Base,434,Lotus panels,Ducks in lotus pond,1,,1140-IMG_2348.jpg1140-IMG_2351.jpg,,
1141,E20,B117,Guan?,,B&W,Jingdezhen,Porcelain,Shard,37,Panels,,1,Lobed,1141-IMG_2355.jpg1141-IMG_2356.jpg,,✓
1142,E20,B117,Guan?,,B&W,Jingdezhen,Porcelain,Shard,29,Peony?,,1,,1142-IMG_2358.jpg1142-IMG_2357.jpg,,
1143,E20,B117,Bowl & dish,,B&W,Jingdezhen,Porcelain,Shards,62,,,2,,1143-IMG_2360.jpg1143-IMG_2359.jpg,,
1144,E22,B130,Jarlet,,B&W,Jingdezhen,Porcelain,Shard,15,Floral,,1,Beaded ribs,1144-IMG_2362.jpg1144-IMG_2363.jpg,,
1145,E22,B130,Vases,,B&W,Jingdezhen,Porcelain,Shards,69,Lotus panels,,3,,1145-IMG_2369.jpg1145-IMG_2367.jpg,,
1146,E22,B130,Bowls,,B&W,Jingdezhen,Porcelain,Shards,47,,,3,,1146-IMG_2370.jpg1146-IMG_2371.jpg,,
1147,E22,B130,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,149,Lotus panels,Ducks in lotus pond,1,,1147-IMG_2373.jpg1147-IMG_2375.jpg,,
1148,F19,B137,Vases,,B&W,Jingdezhen,Porcelain,Shards,21,,,4,,1148-IMG_2383.jpg1148-IMG_2381.jpg,,
1149,F19,B137,Bowls,,B&W,Jingdezhen,Porcelain,Shards,66,,,3,,1149-IMG_2386.jpg1149-IMG_2384.jpg,,
1150,F19,B137,Vase,,B&W,Jingdezhen,Porcelain,Base,276,Flaming pearls in lotus panels,,1,,1150-IMG_2388.jpg1150-IMG_2389.jpg1150-IMG_2387.jpg,,✓
1151,F19,B137,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,278,Lotus panels,Morning glory peony,1,,1151-IMG_2391.jpg1151-IMG_2393.jpg,,
1152,F19,B137,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,154,Lotus panels,Lotus pond,1,,1152-IMG_2397.jpg1152-IMG_2398.jpg,,
1153,F19,B137,Vase,,B&W,Jingdezhen,Porcelain,Neck mouth shard,20,Lotus,,1,Flared rim glazed interior,1153-IMG_2402.jpg1153-IMG_2400.jpg,,✓
1154,F19,B137,Cup,Small,B&W,Jingdezhen,Porcelain,Base,22,,Chrysanthemum,1,,1154-IMG_2411.jpg1154-IMG_2410.jpg,,
1155,F19,B137,Vase,,B&W,Jingdezhen,Porcelain,Neck shard,14,Frett work,,1,Cylindrical,1155-IMG_2413.jpg1155-IMG_2414.jpg1155-IMG_2412.jpg,,
1156,E22,B128,Bowl,Small,B&W,Jingdezhen,Porcelain,Base,92,Lotus panels,Lotus bouquet,1,,1156-IMG_2416.jpg1156-IMG_2415.jpg,,
1157,E22,B128,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base shard,139,Lotus panels,Ducks in lotus pond,1,,1157-IMG_2418.jpg1157-IMG_2417.jpg,,
1158,E22,B131,Stem bowl?,Small,B&W,Jingdezhen,Porcelain,Shard,67,Lotus panels with symbols,,1,,1158-IMG_2419.jpg1158-IMG_2420.jpg,,
1159,E22,B131,Bowl,Small,B&W,Jingdezhen,Porcelain,Shard,10,Lotus scroll,Scroll,1,,1159-IMG_2421.jpg1159-IMG_2422.jpg,,
1160,E21,B122,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,260,Lotus panels,Ducks in lotus pond,1,Coral encrusted base,1160-IMG_2425.jpg1160-IMG_2424.jpg,,
1161,F21,B141,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,224,Lotus Panels,Herons in lotus pond,1,Flying heron,1161-IMG_2426.jpg1161-IMG_2427.jpg,,✓
1162,E20,B117,Bowl,Small,B&W,Jingdezhen,Porcelain,Base,95,,Lotus bouquet,1,,1162-IMG_2429.jpg1162-IMG_2428.jpg,,
1163,E18,B098,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,130,Lotus panels,Chrysanthemum,1,,1163-IMG_2430.jpg1163-IMG_2431.jpg,,
1164,E18,B098,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,151,,Morning glory peony,1,,1164-IMG_2433.jpg1164-IMG_2432.jpg,,
1165,E18,B098,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,189,Lotus petals,Ducks in lotus pond,1,,1165-IMG_2435.jpg1165-IMG_2434.jpg,,
1166,E18,B098,Flask,,B&W,Jingdezhen,Porcelain,Shard,104,Lotus,,1,Cobalt diffused,1166-IMG_2436.jpg1166-IMG_2437.jpg,,✓
1167,F19,B134,Bowl,Medium,B&W,Jingdezhen,Porcelain,Shard,29,Lotus panels,Lotus pond,1,,1167-IMG_2440.jpg1167-IMG_2439.jpg,,
1168,F18,B135,Vase,,B&W,Jingdezhen,Porcelain,Shard,46,Floral,,1,,1168-IMG_2441.jpg1168-IMG_2442.jpg,,
